frame_index,stamp_ns,time_sec,episode,rgb_path,depth_path,full_run_candidate_count
0,577300030109,577.300030109,distractor,rgb/frame_00_577300030109.jpg,depth/frame_00_577300030109.png,1
1,577400030114,577.400030114,distractor,rgb/frame_01_577400030114.jpg,depth/frame_01_577400030114.png,1
2,577500030119,577.500030119,distractor,rgb/frame_02_577500030119.jpg,depth/frame_02_577500030119.png,2
3,577600030124,577.600030124,distractor,rgb/frame_03_577600030124.jpg,depth/frame_03_577600030124.png,1
4,577700030129,577.700030129,distractor,rgb/frame_04_577700030129.jpg,depth/frame_04_577700030129.png,1
5,577800030135,577.800030135,distractor,rgb/frame_05_577800030135.jpg,depth/frame_05_577800030135.png,2
6,602000031397,602.000031397,target,rgb/frame_06_602000031397.jpg,depth/frame_06_602000031397.png,2
7,602100031402,602.100031402,target,rgb/frame_07_602100031402.jpg,depth/frame_07_602100031402.png,2
8,602200031407,602.200031407,target,rgb/frame_08_602200031407.jpg,depth/frame_08_602200031407.png,2
9,602300031412,602.300031412,target,rgb/frame_09_602300031412.jpg,depth/frame_09_602300031412.png,1
10,602400031418,602.400031418,target,rgb/frame_10_602400031418.jpg,depth/frame_10_602400031418.png,2
11,602500031423,602.500031423,target,rgb/frame_11_602500031423.jpg,depth/frame_11_602500031423.png,1
